timestamp,annotator_id,prolific_id,sex,age,education,provenance,political_position,sexual_orientation
5/20/2026 8:34:19,GS1,69320a3097cd2a523915e70d,M,28,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/20/2026 8:36:33,GS2,5b715800b31d480001eda165,M,28,Scuola secondaria,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/20/2026 8:36:34,GS2,5b715800b31d480001eda165,M,28,Scuola secondaria,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/20/2026 8:49:33,GS3,6026891e02f12c316ba8bcbb,M,28,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Centro,Non appartenente alla comunità LGBTQIA+
5/20/2026 8:50:54,GS4,69725e866345cdfae6595964,M,24,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/20/2026 8:58:05,GS5,6926bb38c3f3599b9ddad752,M,20,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/20/2026 9:01:45,GS6,5bcd11401662020001fe82c1,M,28,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/20/2026 9:12:33,GS7,607aa201c7cdcb55267f28fd,M,26,Altro,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/20/2026 9:14:53,GS8,606f25c909b8c8c57c904dcc,M,26,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/20/2026 9:14:53,GS8,606f25c909b8c8c57c904dcc,M,26,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/20/2026 9:18:01,GS9,6978a3981c8e0cbe035c7453,M,20,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/20/2026 9:21:16,GS10,5ddf809cc0823fed91dea637,M,34,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Non voto,Non appartenente alla comunità LGBTQIA+
5/20/2026 9:39:40,GS11,5f1165307d03fb0009716b8e,M,25,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
