timestamp,annotator_id,prolific_id,sex,age,education,provenance,political_position,sexual_orientation
5/21/2026 17:25:26,GS1,5f9b30c0966301333a77f03a,F,46,Diploma,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:28:26,GS2,668e8b2d29cef7917c9b19bd,F,43,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:28:38,GS3,5ed315edeed1c218661eb147,F,49,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Destra,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:34:11,GS5,6048ab2754d16697eb9eb7b4,F,37,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Appartenente alla comunità LGBTQIA+
5/21/2026 17:36:21,GS6,5e5cc9ce92d80948da643ebc,F,38,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/21/2026 17:37:08,GS7,69725eccb376ddc5967a490e,F,41,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Centro,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:38:11,GS4,5f5de7ba9a3ef664001fe837,F,38,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Non voto,Appartenente alla comunità LGBTQIA+
5/21/2026 17:38:40,GS8,5bc52287614ed50001e67214,F,36,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:42:14,GS9,5f7d002d141e4e1c0e84e98e,F,47,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:48:32,GS10,5fa183a3cfef162923bec47d,F,44,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Destra,Non appartenente alla comunità LGBTQIA+
5/21/2026 17:51:22,GS11,5f21ff288900cb4709dd49aa,F,66,Laurea triennale,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non appartenente alla comunità LGBTQIA+
5/21/2026 18:07:34,GS12,5bf5f5f559230c0001a9b2a0,F,55,Laurea magistrale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Destra,Non appartenente alla comunità LGBTQIA+
5/21/2026 18:20:05,GS13,66c0c50ceb685c7e182fef55,F,43,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Centro,Appartenente alla comunità LGBTQIA+
